content_version,status,lesson_key,mission_key,content_id,sort_order,target_type,target_key,family_key,display_text,spoken_target,syllable_guide,syllable_count,grapheme_pattern,phoneme_guide,has_consonant_cluster,has_consonant_digraph,has_consonant_multigraph,is_irregular,asr_model,difficulty_band,pronunciation_review,display_fingerprint,context_sentence,highlighted_word,highlight_occurrence,context_display_fingerprint,eligible_mission_1,eligible_mission_2
v1,active,required-lesson-2,all,lesson-v1-word-bag,1,word,word:bag,onset-b,bag,bag,bag,1,CVC,B AE G,false,false,false,false,mu,easy,approved,display:bag,A bag is tan.,bag,1,display:a-bag-is-tan,true,true
v1,active,required-lesson-2,all,lesson-v1-word-bat,2,word,word:bat,onset-b,bat,bat,bat,1,CVC,B AE T,false,false,false,false,mu,easy,approved,display:bat,A bat is on a mat.,bat,1,display:a-bat-is-on-a-mat,true,true
v1,active,required-lesson-2,all,lesson-v1-word-bed,3,word,word:bed,onset-b,bed,bed,bed,1,CVC,B EH D,false,false,false,false,mu,easy,approved,display:bed,Ben is in bed.,bed,1,display:ben-is-in-bed,true,true
v1,active,required-lesson-2,all,lesson-v1-word-big,4,word,word:big,onset-b,big,big,big,1,CVC,B IH G,false,false,false,false,mu,easy,approved,display:big,A pig is big.,big,1,display:a-pig-is-big,true,true
v1,active,required-lesson-2,all,lesson-v1-word-bun,5,word,word:bun,onset-b,bun,bun,bun,1,CVC,B AH N,false,false,false,false,mu,easy,approved,display:bun,Mia has a bun.,bun,1,display:mia-has-a-bun,true,true
v1,active,required-lesson-2,all,lesson-v1-word-can,6,word,word:can,onset-c,can,can,can,1,CVC,K AE N,false,false,false,false,mu,easy,approved,display:can,A can is on a mat.,can,1,display:a-can-is-on-a-mat,true,true
v1,active,required-lesson-2,all,lesson-v1-word-cap,7,word,word:cap,onset-c,cap,cap,cap,1,CVC,K AE P,false,false,false,false,mu,easy,approved,display:cap,A cap is red.,cap,1,display:a-cap-is-red,true,true
v1,active,required-lesson-2,all,lesson-v1-word-cat,8,word,word:cat,onset-c,cat,cat,cat,1,CVC,K AE T,false,false,false,false,mu,easy,approved,display:cat,Ana has a cat.,cat,1,display:ana-has-a-cat,true,true
v1,active,required-lesson-2,all,lesson-v1-word-cot,9,word,word:cot,onset-c,cot,cot,cot,1,CVC,K AA T,false,false,false,false,mu,easy,approved,display:cot,A cot is in a hut.,cot,1,display:a-cot-is-in-a-hut,true,true
v1,active,required-lesson-2,all,lesson-v1-word-cut,10,word,word:cut,onset-c,cut,cut,cut,1,CVC,K AH T,false,false,false,false,mu,easy,approved,display:cut,Ben has a cut.,cut,1,display:ben-has-a-cut,true,true
