content_id,visual_kind,visual_key,visual_review_status,visual_asset_status,missing_letter_index,missing_letter_distractor_1,missing_letter_distractor_2,build_word_enabled,missing_word_enabled,missing_word_occurrence,picture_find_enabled,word_picture_match_enabled,alt_text,visual_disambiguation_note,mechanic_notes,review_status
lesson-v1-word-bag,image,word-bag,approved,planned,2,e,u,true,true,1,true,false,A plain bag,Use a simple school bag with no brand marks,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-bat,icon,word-bat,approved,planned,2,e,o,true,true,1,true,false,A small flying animal bat,Depict the animal and not sports equipment,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-bed,image,word-bed,approved,planned,2,a,i,true,true,1,true,false,A simple bed,Use a plain bed with no extra written clues,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-big,none,,not-applicable,not-required,2,e,o,true,true,1,false,false,,Text only; relative size is not safely pictured,Middle vowel blank; exact sentence occurrence 1; text-only path,phase-1a-reviewed
lesson-v1-word-bun,image,word-bun,approved,planned,2,e,i,true,true,1,true,false,A plain bread bun,Depict bread and not a hairstyle,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-can,icon,word-can,approved,planned,2,i,o,true,true,1,true,false,A plain tin can,Depict a container and not the modal verb,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-cap,image,word-cap,approved,planned,2,i,u,true,true,1,true,false,A simple brimmed cap,Keep the cap distinct from a general hat,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-cat,image,word-cat,approved,planned,2,e,i,true,true,1,true,false,A single cat silhouette,Use one clear cat with no breed-specific distraction,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-cut,none,,not-applicable,not-required,2,e,o,true,true,1,false,false,,Text only; injury imagery is not appropriate,Middle vowel blank; exact sentence occurrence 1; text-only path,phase-1a-reviewed
lesson-v1-word-dad,icon,word-dad,approved,planned,2,i,o,true,true,1,true,false,An adult with a bag,Use an inclusive family representation and do not encode one fixed appearance,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-den,image,word-den,approved,planned,2,a,i,true,true,1,true,false,A fox den opening with one fox,Keep the den and fox visually clear without extra text,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-dig,icon,word-dig,approved,planned,2,a,e,true,true,1,true,false,A dog digging with a shovel,Make the action unmistakable without adding written clues,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-dog,image,word-dog,approved,planned,2,a,e,true,true,1,true,false,A single dog silhouette,Use one clear dog with no breed-specific distraction,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-dot,icon,word-dot,approved,planned,2,a,i,true,true,1,true,false,A single dot on a simple map,Show the dot on a map so it is not an isolated meaningless mark,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-fan,image,word-fan,approved,planned,2,e,o,true,true,1,true,false,A plain electric fan,The sentence does not choose handheld or electric; keep the planned meaning explicit,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-fat,none,,not-applicable,not-required,2,e,o,true,true,1,false,false,,Text only; body-label imagery is not appropriate,Middle vowel blank; exact sentence occurrence 1; text-only path,phase-1a-reviewed
lesson-v1-word-fin,image,word-fin,approved,planned,2,e,o,true,true,1,true,false,A fish with one fin clearly visible,Keep the fin clear and review the unfamiliar cod context before artwork,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-fit,none,,not-applicable,not-required,2,e,o,true,true,1,false,false,,Text only; the relationship is not safely pictured alone,Middle vowel blank; exact sentence occurrence 1; text-only path,phase-1a-reviewed
lesson-v1-word-fun,none,,not-applicable,not-required,2,e,o,true,true,1,false,false,,Text only; the abstract property is not safely pictured,Middle vowel blank; exact sentence occurrence 1; text-only path,phase-1a-reviewed
lesson-v1-word-gap,icon,word-gap,approved,planned,2,i,o,true,true,1,true,false,A clear gap in a log,Use a broken log shape with strong contrast and no extra clues,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-gas,none,,not-applicable,not-required,2,e,i,true,true,1,false,false,,Text only; invisible substance and multiple meanings are risky,Middle vowel blank; exact sentence occurrence 1; text-only path,phase-1a-reviewed
lesson-v1-word-get,none,,not-applicable,not-required,2,a,i,true,true,1,false,false,,Text only; the abstract action is not safely pictured,Middle vowel blank; exact sentence occurrence 1; text-only path,phase-1a-reviewed
lesson-v1-word-got,none,,not-applicable,not-required,2,a,i,true,true,1,false,false,,Text only; tense and action are not safely pictured,Middle vowel blank; exact sentence occurrence 1; text-only path,phase-1a-reviewed
lesson-v1-word-gum,image,word-gum,approved,planned,2,a,o,true,true,1,true,false,A plain piece or pack of gum,Use no brand marks and avoid extra printed words,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-ham,image,word-ham,approved,planned,2,e,i,true,true,1,true,false,A simple slice of ham,Use a plain food illustration with no brand marks,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-hat,image,word-hat,approved,planned,2,e,i,true,true,1,true,false,A simple hat,Keep the hat visually distinct from a brimmed cap,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-hen,image,word-hen,approved,planned,2,a,i,true,true,1,true,false,A single hen,Use a clear hen and not a generic bird,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-hip,icon,word-hip,approved,planned,2,a,e,true,true,1,true,false,A simple body outline showing a hip,Use a non-medical outline and avoid pain or injury emphasis,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-hot,icon,word-hot,approved,planned,2,e,i,true,true,1,true,false,A warm bun with simple heat lines,Do not rely only on red color to communicate hot,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-jam,image,word-jam,approved,planned,2,e,i,true,true,1,true,false,A plain jar of jam,Use no brand marks or extra printed words,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-jet,image,word-jet,approved,planned,2,a,o,true,true,1,true,false,A single jet airplane silhouette,Keep the aircraft shape clear and uncluttered,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-job,none,,not-applicable,not-required,2,a,e,true,true,1,false,false,,Text only; an occupation is abstract and culturally variable,Middle vowel blank; exact sentence occurrence 1; text-only path,phase-1a-reviewed
lesson-v1-word-jog,icon,word-jog,approved,planned,2,a,e,true,true,1,true,false,An inclusive person jogging,Show the action clearly without making identity the answer,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-jug,image,word-jug,approved,planned,2,a,i,true,true,1,true,false,A plain handled jug,Keep the jug distinct from a mug or cup,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-lap,icon,word-lap,approved,planned,2,e,u,true,true,1,true,false,A seated child with a cat on a lap,Use a simple pose and avoid body-label emphasis,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-leg,image,word-leg,approved,planned,2,a,i,true,true,1,true,false,A simplified clothed leg,Avoid realistic body detail and injury imagery,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-lid,image,word-lid,approved,planned,2,a,e,true,true,1,true,false,A lid on a pot,Make the removable lid visually dominant and clear,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-lip,image,word-lip,approved,planned,2,e,u,true,true,1,true,false,A simple lip shape,Avoid showing the cut from the approved sentence,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-log,image,word-log,approved,planned,2,a,i,true,true,1,true,false,A single log in mud,Use a readable log silhouette with no extra written clues,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-man,icon,word-man,approved,planned,2,i,o,true,true,1,true,false,An inclusive adult wearing a hat,Avoid stereotypes and do not make identity details the answer,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-map,image,word-map,approved,planned,2,i,o,true,true,1,true,false,A folded map without readable labels,Do not include place names or extra printed clues,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-mat,image,word-mat,approved,planned,2,i,o,true,true,1,true,false,A plain floor mat,Keep the mat distinct from the background,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-men,icon,word-men,approved,planned,2,i,o,true,true,1,true,false,Two inclusive adults sitting,Make the plural group clear without stereotypes,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-mug,image,word-mug,approved,planned,2,a,o,true,true,1,true,false,A handled mug on a mat,Keep the mug distinct from a jug or cup,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-pan,image,word-pan,approved,planned,2,i,o,true,true,1,true,false,A plain frying pan,Keep the handle clear and avoid food text labels,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-pen,image,word-pen,approved,planned,2,i,o,true,true,1,true,false,A simple writing pen,Use no brand marks or printed words,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-pet,icon,word-pet,approved,planned,2,i,u,true,true,1,true,false,A cat with its caregiver,Show the pet relationship and not merely a cat,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-pig,image,word-pig,approved,planned,2,a,e,true,true,1,true,false,A single pig silhouette,Use one clear pig with no extra action clue,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
lesson-v1-word-pot,image,word-pot,approved,planned,2,a,i,true,true,1,true,false,A plain cooking pot on a mat,Keep the pot distinct from a pan and mug,Middle vowel blank; exact sentence occurrence 1; picture is formative only,phase-1a-reviewed
