template_key,reference_role,english_template,filipino_template,required_placeholders,translation_policy,review_status,review_notes
feedback.you_said_letter,result,"You said {spoken}.","Ang sinabi mo ay {spoken}.",{spoken},code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve all required placeholders. English learner and curriculum tokens remain unchanged."
feedback.you_said_transcript,result,"You said {final}.","Ang sinabi mo ay {final}.",{final},code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve all required placeholders. English learner and curriculum tokens remain unchanged."
feedback.unclear_letter,result,"I did not hear a clear letter. You can try the next one.","Hindi ako nakarinig ng malinaw na letra. Maaari mong subukan ang susunod.",,translate,approved,"Approved by the product owner on 2026-08-08. Review for natural child-directed Filipino."
feedback.unclear_phrase,result,"I did not hear a clear phrase. You can try the next one.","Hindi ako nakarinig ng malinaw na parirala. Maaari mong subukan ang susunod.",,translate,approved,"Approved by the product owner on 2026-08-08. Review for natural child-directed Filipino."
feedback.unclear_sentence,result,"I did not hear a clear sentence. You can try the next one.","Hindi ako nakarinig ng malinaw na pangungusap. Maaari mong subukan ang susunod.",,translate,approved,"Approved by the product owner on 2026-08-08. Review for natural child-directed Filipino."
feedback.unclear_word,result,"I did not hear a clear word. You can try the next one.","Hindi ako nakarinig ng malinaw na salita. Maaari mong subukan ang susunod.",,translate,approved,"Approved by the product owner on 2026-08-08. Review for natural child-directed Filipino."
alignment.missing_word,result,"You missed the word {expected}.","Hindi mo nasabi ang salitang {expected}.",{expected},code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve all required placeholders. English learner and curriculum tokens remain unchanged."
alignment.missing_word_fallback,result,"You missed one word. Let us try the {unit} again.","May isang salitang hindi mo nasabi. Subukan nating muli ang {unit}.",{unit},translate,approved,"Approved by the product owner on 2026-08-08. The controlled unit must resolve to parirala or pangungusap."
alignment.extra_word,result,"I heard an extra word, {actual}.","May narinig akong sobrang salita, {actual}.",{actual},code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve all required placeholders. English learner and curriculum tokens remain unchanged."
alignment.extra_word_fallback,result,"I heard one extra word. Let us try the {unit} again.","May narinig akong isang sobrang salita. Subukan nating muli ang {unit}.",{unit},translate,approved,"Approved by the product owner on 2026-08-08. The controlled unit must resolve to parirala or pangungusap."
alignment.replaced_word,result,"I heard {actual} instead of {expected}.","Narinig ko ang {actual} sa halip na {expected}.",{actual}|{expected},code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve all required placeholders. English learner and curriculum tokens remain unchanged."
alignment.replaced_word_fallback,result,"One word was different. Let us try the {unit} again.","May isang salitang naiiba. Subukan nating muli ang {unit}.",{unit},translate,approved,"Approved by the product owner on 2026-08-08. The controlled unit must resolve to parirala or pangungusap."
alignment.words_out_of_order,result,"The words {first} and {second} changed places.","Nagpalit ng puwesto ang mga salitang {first} at {second}.",{first}|{second},code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve all required placeholders. English learner and curriculum tokens remain unchanged."
alignment.words_out_of_order_fallback,result,"Two words changed places. Let us try the phrase again.","Nagpalit ng puwesto ang dalawang salita. Subukan nating muli ang parirala.",,translate,approved,"Approved by the product owner on 2026-08-08. Review for natural child-directed Filipino."
alignment.multiple_missing_word,result,"Let us fix one part. You missed the word {expected}.","Ayusin natin ang isang bahagi. Hindi mo nasabi ang salitang {expected}.",{expected},code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve all required placeholders. English learner and curriculum tokens remain unchanged."
alignment.multiple_missing_word_fallback,result,"Let us fix one part. One word was missing.","Ayusin natin ang isang bahagi. May isang salitang nawawala.",,translate,approved,"Approved by the product owner on 2026-08-08. Review for natural child-directed Filipino."
alignment.multiple_extra_word,result,"Let us fix one part. I heard an extra word, {actual}.","Ayusin natin ang isang bahagi. May narinig akong sobrang salita, {actual}.",{actual},code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve all required placeholders. English learner and curriculum tokens remain unchanged."
alignment.multiple_extra_word_fallback,result,"Let us fix one part. I heard an extra word.","Ayusin natin ang isang bahagi. May narinig akong sobrang salita.",,translate,approved,"Approved by the product owner on 2026-08-08. Review for natural child-directed Filipino."
alignment.multiple_replaced_word,result,"Let us fix one part. I heard {actual} instead of {expected}.","Ayusin natin ang isang bahagi. Narinig ko ang {actual} sa halip na {expected}.",{actual}|{expected},code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve all required placeholders. English learner and curriculum tokens remain unchanged."
alignment.multiple_replaced_word_fallback,result,"Let us fix one part. One word was different.","Ayusin natin ang isang bahagi. May isang salitang naiiba.",,translate,approved,"Approved by the product owner on 2026-08-08. Review for natural child-directed Filipino."
alignment.multiple_default,result,"Some words were different. Let us read the phrase one word at a time.","May ilang salitang naiiba. Basahin natin ang parirala nang paisa-isang salita.",,translate,approved,"Approved by the product owner on 2026-08-08. Review for natural child-directed Filipino."
alignment.default,result,"Some words were different. Let us read the {unit} one word at a time.","May ilang salitang naiiba. Basahin natin ang {unit} nang paisa-isang salita.",{unit},translate,approved,"Approved by the product owner on 2026-08-08. The controlled unit must resolve to parirala or pangungusap."
demonstration.lesson_2_word,instruction,"The word is {word}. Listen: {word}. Now you try.","Ang salita ay {word}. Makinig: {word}. Ngayon, ikaw naman.",{word},code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve all required placeholders. English learner and curriculum tokens remain unchanged."
