content_version,status,lesson_key,mission_key,content_id,sort_order,target_type,target_key,display_text,spoken_target,component_word_keys,case_sensitive,punctuation_sensitive,asr_model,difficulty_band,pronunciation_review,display_fingerprint
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-big-bag-bed,1,sentence,sentence:a-big-bag-is-on-a-bed,A big bag is on a bed.,a big bag is on a bed,"[""word:a"",""word:big"",""word:bag"",""word:is"",""word:on"",""word:a"",""word:bed""]",false,false,mu,easy,approved,display:a-big-bag-is-on-a-bed
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-cat-mat,2,sentence,sentence:a-cat-is-on-a-mat,A cat is on a mat.,a cat is on a mat,"[""word:a"",""word:cat"",""word:is"",""word:on"",""word:a"",""word:mat""]",false,false,mu,easy,approved,display:a-cat-is-on-a-mat
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-dog-log,3,sentence,sentence:a-dog-is-on-a-log,A dog is on a log.,a dog is on a log,"[""word:a"",""word:dog"",""word:is"",""word:on"",""word:a"",""word:log""]",false,false,mu,easy,approved,display:a-dog-is-on-a-log
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-hen-pen,4,sentence,sentence:a-hen-is-in-a-pen,A hen is in a pen.,a hen is in a pen,"[""word:a"",""word:hen"",""word:is"",""word:in"",""word:a"",""word:pen""]",false,false,mu,easy,approved,display:a-hen-is-in-a-pen
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-hot-pan-mat,5,sentence,sentence:a-hot-pan-is-on-a-mat,A hot pan is on a mat.,a hot pan is on a mat,"[""word:a"",""word:hot"",""word:pan"",""word:is"",""word:on"",""word:a"",""word:mat""]",false,false,mu,easy,approved,display:a-hot-pan-is-on-a-mat
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-kid-hop,6,sentence,sentence:a-kid-can-hop,A kid can hop.,a kid can hop,"[""word:a"",""word:kid"",""word:can"",""word:hop""]",false,false,mu,easy,approved,display:a-kid-can-hop
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-man-dig,7,sentence,sentence:a-man-can-dig,A man can dig.,a man can dig,"[""word:a"",""word:man"",""word:can"",""word:dig""]",false,false,mu,easy,approved,display:a-man-can-dig
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-pig-mud,8,sentence,sentence:a-pig-is-in-mud,A pig is in mud.,a pig is in mud,"[""word:a"",""word:pig"",""word:is"",""word:in"",""word:mud""]",false,false,mu,easy,approved,display:a-pig-is-in-mud
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-red-cup-mat,9,sentence,sentence:a-red-cup-is-on-a-mat,A red cup is on a mat.,a red cup is on a mat,"[""word:a"",""word:red"",""word:cup"",""word:is"",""word:on"",""word:a"",""word:mat""]",false,false,mu,easy,approved,display:a-red-cup-is-on-a-mat
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-wet-dog-mat,10,sentence,sentence:a-wet-dog-is-on-a-mat,A wet dog is on a mat.,a wet dog is on a mat,"[""word:a"",""word:wet"",""word:dog"",""word:is"",""word:on"",""word:a"",""word:mat""]",false,false,mu,easy,approved,display:a-wet-dog-is-on-a-mat
