speech_key,area,reference_role,audio_path,english_text,filipino_text,translation_policy,review_status,review_notes
lesson-6-mission-1,lesson-6,instruction,lessons/lesson-6/mission-1/lesson-6-mission-1.wav,"Read the sentence, listen to my question, then choose the best answer.","Basahin ang pangungusap, pakinggan ang tanong ko, saka piliin ang pinakamahusay na sagot.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-clue-who,lesson-6,instruction,lessons/lesson-6/support/clues/lesson-6-clue-who.wav,"Who asks for a person. Find the name of the person in the sentence.","Ang Who ay nagtatanong tungkol sa tao. Hanapin ang pangalan ng tao sa pangungusap.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-clue-what,lesson-6,instruction,lessons/lesson-6/support/clues/lesson-6-clue-what.wav,"What asks for a thing or an action. Find what the sentence tells us.","Ang What ay nagtatanong tungkol sa bagay o kilos. Hanapin ang sinasabi ng pangungusap.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-clue-where,lesson-6,instruction,lessons/lesson-6/support/clues/lesson-6-clue-where.wav,"Where asks for a place. Find the place in the sentence.","Ang Where ay nagtatanong tungkol sa lugar. Hanapin ang lugar sa pangungusap.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-clue-when,lesson-6,instruction,lessons/lesson-6/support/clues/lesson-6-clue-when.wav,"When asks for a time. Find the time in the sentence.","Ang When ay nagtatanong tungkol sa oras. Hanapin ang oras sa pangungusap.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-clue-why,lesson-6,instruction,lessons/lesson-6/support/clues/lesson-6-clue-why.wav,"Why asks for a reason. Find the words that tell why it happened.","Ang Why ay nagtatanong tungkol sa dahilan. Hanapin ang mga salitang nagsasabi kung bakit ito nangyari.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-complete,lesson-6,result,lessons/lesson-6/completion/lesson-6-complete.wav,"You finished all six reading lessons. You are a Question Detective. Your Final Assessment is ready.","Natapos mo ang lahat ng anim na aralin sa pagbasa. Isa ka nang Question Detective. Handa na ang iyong Final Assessment.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-question-who-lena,lesson-6,question,lessons/lesson-6/question/lesson-6-question-who-lena.wav,"Who has a red bag?","Sino ang may pulang bag?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-guided-who-lena,lesson-6,instruction,lessons/lesson-6/guided/lesson-6-guided-who-lena.wav,"Look at the highlighted name. Who has a red bag?","Tingnan ang pangalang naka-highlight. Sino ang may pulang bag?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-demo-who-lena,lesson-6,instruction,lessons/lesson-6/demo/lesson-6-demo-who-lena.wav,"The sentence says Lena. Choose Lena.","Lena ang sinasabi ng pangungusap. Piliin si Lena.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-correct-who-lena,lesson-6,result,lessons/lesson-6/correct/lesson-6-correct-who-lena.wav,"That is correct. Lena has the red bag.","Tama. Si Lena ang may pulang bag.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-question-who-rosa,lesson-6,question,lessons/lesson-6/question/lesson-6-question-who-rosa.wav,"Who has a pet cat?","Sino ang may alagang pusa?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
