batch_id,speech_key,reference_role,source_review_status,audio_review_status,english_text,filipino_text,staged_audio_path,duration_seconds,sha256,review_notes
batch-002,lesson-6-clue-why,instruction,approved,approved,"Why asks for a reason. Find the words that tell why it happened.","Ang Why ay nagtatanong tungkol sa dahilan. Hanapin ang mga salitang nagsasabi kung bakit ito nangyari.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/support/clues/lesson-6-clue-why.wav,7.200,4bbca64b6421a25dfcb708f87a38ec31f3bea56f2619593b3dcd02f899b7ef64,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-complete,result,approved,approved,"You finished all six reading lessons. You are a Question Detective. Your Final Assessment is ready.","Natapos mo ang lahat ng anim na aralin sa pagbasa. Isa ka nang Question Detective. Handa na ang iyong Final Assessment.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/completion/lesson-6-complete.wav,9.280,cbeb6de1ed8fdd0e7a0107e3ef7964ae53f220fa3202edd056181b6b0652b73e,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-question-who-lena,question,approved,approved,"Who has a red bag?","Sino ang may pulang bag?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/question/lesson-6-question-who-lena.wav,2.080,af3c1ddb41f5d76f976970e05640d5c827d2510a3b071ebeaa72c5e365a9bec2,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-guided-who-lena,instruction,approved,approved,"Look at the highlighted name. Who has a red bag?","Tingnan ang pangalang naka-highlight. Sino ang may pulang bag?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/guided/lesson-6-guided-who-lena.wav,4.640,228c9d483ddc393b4568f27ed36e07b8815ac3ad9ea66ed20d6e023b0ef5b64c,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-demo-who-lena,instruction,approved,approved,"The sentence says Lena. Choose Lena.","Lena ang sinasabi ng pangungusap. Piliin si Lena.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/demo/lesson-6-demo-who-lena.wav,4.480,3918bcb89bdcdae1a84f82828b6e15fd51550f35de97a6de34fe34ffb1af3438,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-correct-who-lena,result,approved,approved,"That is correct. Lena has the red bag.","Tama. Si Lena ang may pulang bag.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/correct/lesson-6-correct-who-lena.wav,3.200,f91d47c865191fb69344a50d6ce2a75e48a82ca730815156c33c3fa092405799,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-question-who-rosa,question,approved,approved,"Who has a pet cat?","Sino ang may alagang pusa?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/question/lesson-6-question-who-rosa.wav,2.080,62546e6274211885abf5a9e2db3cb46ce184383977b406f1ebb5553bdb684783,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-guided-who-rosa,instruction,approved,approved,"Look at the highlighted name. Who has a pet cat?","Tingnan ang pangalang naka-highlight. Sino ang may alagang pusa?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/guided/lesson-6-guided-who-rosa.wav,4.480,2fa9a36b0ce8d730facf949dc3d6466701b429b2c367fb5a198fc291eb1fb820,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-demo-who-rosa,instruction,approved,approved,"The sentence says Rosa. Choose Rosa.","Rosa ang sinasabi ng pangungusap. Piliin si Rosa.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/demo/lesson-6-demo-who-rosa.wav,4.640,0a4057997176273ed15410e3d1c979cc0080bd5bac9fc64b9bb1b4878833bbcb,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-correct-who-rosa,result,approved,approved,"That is correct. Rosa has the pet cat.","Tama. Si Rosa ang may alagang pusa.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/correct/lesson-6-correct-who-rosa.wav,3.360,d5898d684bf5bf74259d51239ade2ce9b1f578d1ee2e550dfdeff0d09ccd16a7,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-question-what-mia,question,approved,approved,"What does Mia have?","Ano ang mayroon si Mia?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/question/lesson-6-question-what-mia.wav,1.600,35c627d8c4f50e486a1d80f75ab434be468846387338a4251a67ce5deb2bf3d7,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-guided-what-mia,instruction,approved,approved,"Look at the highlighted thing. What does Mia have?","Tingnan ang bagay na naka-highlight. Ano ang mayroon si Mia?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/guided/lesson-6-guided-what-mia.wav,3.520,85abf9d0f76163f5334b7eee0d59a958f3d6c1bbd6c76d48d14035d4bd9b0049,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-demo-what-mia,instruction,approved,approved,"The sentence says a red pen. Choose A red pen.","Pulang bolpen ang sinasabi ng pangungusap. Piliin ang pulang bolpen.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/demo/lesson-6-demo-what-mia.wav,5.920,f808880e0dd462c806432b97653b49498045cd8553029a588c4d2b1b4170d90e,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-correct-what-mia,result,approved,approved,"That is correct. Mia has a red pen.","Tama. May pulang bolpen si Mia.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/correct/lesson-6-correct-what-mia.wav,2.880,897bc4321b5626f43756f1d5e4abb0374c2a945160d7483372aa78ba05204997,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-question-what-ben,question,approved,approved,"What does Ben have?","Ano ang mayroon si Ben?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/question/lesson-6-question-what-ben.wav,1.920,12b887b9eb25f4c2882ab400dfee7086515ff5883b6c9c7cfebfc7bf2d040521,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-guided-what-ben,instruction,approved,approved,"Look at the highlighted thing. What does Ben have?","Tingnan ang bagay na naka-highlight. Ano ang mayroon si Ben?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/guided/lesson-6-guided-what-ben.wav,4.160,5da5941f685678d23b547a200a677a4a2df7c6b2272b3707cc7b184649547ffd,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-demo-what-ben,instruction,approved,approved,"The sentence says a pet dog. Choose A pet dog.","Alagang aso ang sinasabi ng pangungusap. Piliin ang alagang aso.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/demo/lesson-6-demo-what-ben.wav,5.760,987609ad508838a058743f162f62e5f949ff7eae9c4ae5dc8e8cfad33870cbc9,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-correct-what-ben,result,approved,approved,"That is correct. Ben has a pet dog.","Tama. May alagang aso si Ben.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/correct/lesson-6-correct-what-ben.wav,2.400,ca78f8410f35b2c374254e6ff9acfde8f8c876c393e80956147b266dbdf0bd73,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-question-where-cat,question,approved,approved,"Where is the cat?","Nasaan ang pusa?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/question/lesson-6-question-where-cat.wav,1.440,dc99e31baa1d35595bd1b05492b1240512b080b175532a4d85eb6dbf85be08ff,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-guided-where-cat,instruction,approved,approved,"Look at the highlighted place. Where is the cat?","Tingnan ang lugar na naka-highlight. Nasaan ang pusa?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/guided/lesson-6-guided-where-cat.wav,4.160,9891fb1a10c201dd7850a01f5ce7392efc85d3caab4fbe9a952bbd266a482d91,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-demo-where-cat,instruction,approved,approved,"The sentence says on a bed. Choose On a bed.","Nasa ibabaw ng kama ang sinasabi ng pangungusap. Piliin ang nasa ibabaw ng kama.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/demo/lesson-6-demo-where-cat.wav,5.440,c956e747aced70752e7fa7839fe0e62775f8a5adb0bd652a81e4abd602e235fb,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-correct-where-cat,result,approved,approved,"That is correct. The cat is on a bed.","Tama. Nasa ibabaw ng kama ang pusa.",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/correct/lesson-6-correct-where-cat.wav,3.360,ce795a74e25e5181d0b291497eca79d3b0a5d369ee8aee6e1c25c69bb3abe6c1,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-question-where-hen,question,approved,approved,"Where is the hen?","Nasaan ang inahin?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/question/lesson-6-question-where-hen.wav,1.760,601618b8447219a6b69bb2d76bc9b2d1cdfa88056e7b70a38a0d022962e85eb4,"Approved by the product owner after listening review on 2026-08-09."
batch-002,lesson-6-guided-where-hen,instruction,approved,approved,"Look at the highlighted place. Where is the hen?","Tingnan ang lugar na naka-highlight. Nasaan ang inahin?",apps/api/storage/app/private/tts/staging/fil-PH-v1/sh-fil/lessons/lesson-6/guided/lesson-6-guided-where-hen.wav,4.960,a3e60da4c229aee848274f9ca64aad7a59a3e4407a63c050fb6fa34bad5400f2,"Approved by the product owner after listening review on 2026-08-09."
