content_version,status,lesson_key,mission_key,content_id,sort_order,target_type,target_key,question_type,display_text,question_audio_text,choice_a,choice_b,choice_c,choice_d,correct_choice_key,correct_answer_text,expected_answer_role,answer_evidence_span,highlightable_evidence_span,targeted_clue,guided_clue,demonstration_text,correct_feedback_text,difficulty_band,pronunciation_review,display_fingerprint
v1,active,required-lesson-6,mission-1,lesson-v1-comprehension-who-lena,1,comprehension,comprehension:who-lena-red-bag,who,Lena has a red bag.,Who has a red bag?,Lena,Rosa,Mia,Ben,a,Lena,person,Lena,Lena,Who asks for a person. Read the sentence again.,Look at the highlighted name.,The sentence says Lena. Choose Lena.,That is correct. Lena has the red bag.,easy,approved,display:lena-has-a-red-bag
v1,active,required-lesson-6,mission-1,lesson-v1-comprehension-who-rosa,2,comprehension,comprehension:who-rosa-pet-cat,who,Rosa has a pet cat.,Who has a pet cat?,Lena,Ben,Rosa,Mia,c,Rosa,person,Rosa,Rosa,Who asks for a person. Read the sentence again.,Look at the highlighted name.,The sentence says Rosa. Choose Rosa.,That is correct. Rosa has the pet cat.,easy,approved,display:rosa-has-a-pet-cat
v1,active,required-lesson-6,mission-1,lesson-v1-comprehension-what-mia,3,comprehension,comprehension:what-mia-red-pen,what,Mia has a red pen.,What does Mia have?,A red bag,A red pen,A pet cat,A book,b,A red pen,object,a red pen,a red pen,What asks for a thing. Read the sentence again.,Look at the highlighted thing.,The sentence says a red pen. Choose A red pen.,That is correct. Mia has a red pen.,easy,approved,display:mia-has-a-red-pen
v1,active,required-lesson-6,mission-1,lesson-v1-comprehension-what-ben,4,comprehension,comprehension:what-ben-pet-dog,what,Ben has a pet dog.,What does Ben have?,A pet cat,A red pen,A bag,A pet dog,d,A pet dog,object,a pet dog,a pet dog,What asks for a thing. Read the sentence again.,Look at the highlighted thing.,The sentence says a pet dog. Choose A pet dog.,That is correct. Ben has a pet dog.,easy,approved,display:ben-has-a-pet-dog
v1,active,required-lesson-6,mission-1,lesson-v1-comprehension-where-cat,5,comprehension,comprehension:where-cat-bed,where,A cat is on a bed.,Where is the cat?,On a mat,In a hut,On a bed,In a box,c,On a bed,place,on a bed,on a bed,Where asks for a place. Read the sentence again.,Look at the highlighted place.,The sentence says on a bed. Choose On a bed.,That is correct. The cat is on a bed.,easy,approved,display:a-cat-is-on-a-bed
v1,active,required-lesson-6,mission-1,lesson-v1-comprehension-where-hen,6,comprehension,comprehension:where-hen-hut,where,A hen is in a hut.,Where is the hen?,In a hut,On a bed,In a box,On a mat,a,In a hut,place,in a hut,in a hut,Where asks for a place. Read the sentence again.,Look at the highlighted place.,The sentence says in a hut. Choose In a hut.,That is correct. The hen is in a hut.,easy,approved,display:a-hen-is-in-a-hut
v1,active,required-lesson-6,mission-1,lesson-v1-comprehension-when-lito,7,comprehension,comprehension:when-lito-noon,when,Lito can run at noon.,When can Lito run?,At ten,On Monday,At noon,On Friday,c,At noon,time,at noon,at noon,When asks for a time. Read the sentence again.,Look at the highlighted time.,The sentence says at noon. Choose At noon.,That is correct. Lito can run at noon.,easy,approved,display:lito-can-run-at-noon
v1,active,required-lesson-6,mission-1,lesson-v1-comprehension-when-nena,8,comprehension,comprehension:when-nena-ten,when,Nena can nap at ten.,When can Nena nap?,At noon,At ten,On Sunday,On Monday,b,At ten,time,at ten,at ten,When asks for a time. Read the sentence again.,Look at the highlighted time.,The sentence says at ten. Choose At ten.,That is correct. Nena can nap at ten.,easy,approved,display:nena-can-nap-at-ten
v1,active,required-lesson-6,mission-1,lesson-v1-comprehension-why-mila,9,comprehension,comprehension:why-mila-rain,why,Rain made Mila wet.,Why is Mila wet?,A cut,A fall,Rain,A game,c,Rain,reason,Rain,Rain,Why asks for a reason. Read the sentence again.,Look at the highlighted reason.,The sentence says rain made Mila wet. Choose Rain.,That is correct. Rain made Mila wet.,easy,approved,display:rain-made-mila-wet
v1,active,required-lesson-6,mission-1,lesson-v1-comprehension-why-tino,10,comprehension,comprehension:why-tino-cut,why,A cut made Tino sad.,Why is Tino sad?,Rain,A cut,A game,A fall,b,A cut,reason,A cut,A cut,Why asks for a reason. Read the sentence again.,Look at the highlighted reason.,The sentence says a cut made Tino sad. Choose A cut.,That is correct. A cut made Tino sad.,easy,approved,display:a-cut-made-tino-sad
